candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,1,0,473289544,293,103,43,14,pass,,103,103,0,0.7739795918367347,0.7572747798150073,0.7669902912621359,1.059969631146488,0.3833190938511267,0.11394822006444187
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,1,0,2045696439,293,103,43,14,pass,,103,103,0,0.7477040816326531,0.7330725966275838,0.7475728155339806,0.8476032799898224,0.38735210355989086,0.13495145631133104
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,1,0,1023023316,293,103,43,14,pass,,103,103,0,0.7717120181405895,0.7685517536145217,0.7669902912621359,1.0621356382356408,0.3858259644767031,0.12989163707316548
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,1,0,2039257902,293,103,43,14,pass,,103,103,0,0.7929138321995465,0.7878599608808224,0.7864077669902912,1.079752419818122,0.3882514803856818,0.1574774603553865
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,1,0,1399167848,293,103,43,14,pass,,103,103,0,0.781434240362812,0.7720736246837696,0.7669902912621359,0.8900061450005956,0.3979764684897704,0.14468663679070426
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,1,0,911738777,293,103,43,14,pass,,103,103,0,0.7946995464852608,0.7837034228896237,0.7766990291262136,0.8767292940166572,0.3940217714998721,0.16119095779670942
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,1,0,635235221,293,103,43,14,pass,,103,103,0,0.7739795918367347,0.7574008259369275,0.7669902912621359,1.0473670403642241,0.37910166043369503,0.11296977763001427
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,1,0,331180242,293,103,43,14,pass,,103,103,0,0.7849773242630386,0.7802528135433491,0.7766990291262136,1.0441864603864477,0.3756580796219669,0.13727916541985716
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,1,0,1882673297,293,103,43,14,pass,,103,103,0,0.7509637188208618,0.7186717207580725,0.7378640776699029,1.0602951430687413,0.38602545632905594,0.09950394346994322
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,1,0,1615761843,293,103,43,14,pass,,103,103,0,0.7939058956916101,0.7888078558502826,0.7864077669902912,1.0649917747406423,0.38047648195325945,0.15398942409553534
